epoch: 1/300, train_loss: 8.4690, train_acc: 0.8293, test_loss: 1.9298, test_acc: 0.2913 
epoch: 1/10, train_loss: 7.4361, train_acc: 1.2323, test_loss: 1.7500, test_acc: 0.3485 
epoch: 2/10, train_loss: 7.0229, train_acc: 1.3859, test_loss: 1.6718, test_acc: 0.3766 
epoch: 3/10, train_loss: 6.7804, train_acc: 1.4855, test_loss: 1.6152, test_acc: 0.4045 
epoch: 4/10, train_loss: 6.6004, train_acc: 1.5671, test_loss: 1.5776, test_acc: 0.4203 
epoch: 1/10, train_loss: 6.4480, train_acc: 1.6423, test_loss: 99.4555, test_acc: 26.1875 
epoch: 2/10, train_loss: 6.3181, train_acc: 1.6921, test_loss: 97.2805, test_acc: 26.8500 
epoch: 3/10, train_loss: 6.1936, train_acc: 1.7496, test_loss: 95.4224, test_acc: 27.6563 
epoch: 4/10, train_loss: 6.0920, train_acc: 1.7854, test_loss: 93.9604, test_acc: 28.1375 
epoch: 5/10, train_loss: 5.9687, train_acc: 1.8273, test_loss: 93.0836, test_acc: 28.5625 
epoch: 6/10, train_loss: 5.9526, train_acc: 1.8371, test_loss: 92.4241, test_acc: 29.0000 
epoch: 1/10, train_loss: 1.4972, train_acc: 0.4587, test_loss: 1.4866, test_acc: 0.4562 
epoch: 2/10, train_loss: 1.4806, train_acc: 0.4658, test_loss: 1.4728, test_acc: 0.4664 
epoch: 3/10, train_loss: 1.4636, train_acc: 0.4715, test_loss: 1.4507, test_acc: 0.4685 
epoch: 4/10, train_loss: 1.4488, train_acc: 0.4785, test_loss: 1.4420, test_acc: 0.4704 
epoch: 5/10, train_loss: 1.4194, train_acc: 0.4873, test_loss: 1.4219, test_acc: 0.4864 
epoch: 6/10, train_loss: 1.4133, train_acc: 0.4906, test_loss: 1.4192, test_acc: 0.4801 
epoch: 7/10, train_loss: 1.4139, train_acc: 0.4923, test_loss: 1.4168, test_acc: 0.4882 
epoch: 8/10, train_loss: 1.4085, train_acc: 0.4929, test_loss: 1.4112, test_acc: 0.4867 
epoch: 9/10, train_loss: 1.4095, train_acc: 0.4949, test_loss: 1.4095, test_acc: 0.4892 
epoch: 10/10, train_loss: 1.4075, train_acc: 0.4953, test_loss: 1.4033, test_acc: 0.4884 
epoch: 1/100, train_loss: 1.4255, train_acc: 0.4876, test_loss: 1.4154, test_acc: 0.4841 
epoch: 2/100, train_loss: 1.4132, train_acc: 0.4916, test_loss: 1.4045, test_acc: 0.4874 
epoch: 3/100, train_loss: 1.4038, train_acc: 0.4962, test_loss: 1.3945, test_acc: 0.4897 
epoch: 4/100, train_loss: 1.3945, train_acc: 0.4991, test_loss: 1.3866, test_acc: 0.5017 
epoch: 5/100, train_loss: 1.3804, train_acc: 0.5056, test_loss: 1.3848, test_acc: 0.4970 
epoch: 6/100, train_loss: 1.3736, train_acc: 0.5063, test_loss: 1.3681, test_acc: 0.5020 
epoch: 7/100, train_loss: 1.3666, train_acc: 0.5114, test_loss: 1.3649, test_acc: 0.5051 
epoch: 8/100, train_loss: 1.3577, train_acc: 0.5137, test_loss: 1.3541, test_acc: 0.5075 
epoch: 9/100, train_loss: 1.3506, train_acc: 0.5155, test_loss: 1.3405, test_acc: 0.5144 
epoch: 10/100, train_loss: 1.3422, train_acc: 0.5183, test_loss: 1.3404, test_acc: 0.5103 
epoch: 11/100, train_loss: 1.3330, train_acc: 0.5222, test_loss: 1.3344, test_acc: 0.5138 
